id,text,label,pred_label,pred_confidence,suggested_error_group,student_note
37061,this movie was pure genius john waters is brilliant it is hilarious and i am not sick of it even after seeing it about <num> times since i bought it a few months ago the acting is great although ricki lake could have been better and johnny depp is magnificent he is such a beautiful man and a very talented actor and seeing most of johnny s movies this is probably my favorite i give it <num> <num> rent it today,negative,positive,0.9892614004130484,,
17596,hardly a masterpiece not so well written beautiful cinematography i think not this movie wasn t too terrible but it wasn t that much better than average the main story dealing with highly immoral teens should have focused more on the forbidden romance and why this was should have really gotten into it instead of scraping the surface with basically because mom says we can t some parts should have been dropped altogether or reworked to have more importance to the plight of the two main characters couple times i was wondering if the writer director was a fan of george lucas classic american graffiti not that it s wrong to be a fan of that movie but to make your movie at times look like that i mean come on worst part of this was that madchen amick had such a small part i mean double come on she was the only one in one or two lines who actually tried a southern accent take a good listen it was there even though her character was from california doh maybe if she was the star others could have followed and we would have had a more authentically sounding movie oh well what can ya do when you have a director who s just a director and not an artist also too bad overall i give this a b and that s being a little generous cause i m partial to ms amick,positive,negative,0.9849965578716664,,
31245,mickey rourke hunts diane lane in elmore leonard s killshot it is not like mickey rourke ever really disappeared he has had a steady string of appearances before he burst back on the scene he was memorable in domino sin city man on fire once upon a time in mexico and get carter but in his powerful dramatic performance in the wrestler <num> we see a full blown presentation of the character only hinted at in get carter whenever we get to know him rourke remains a cool but sleazy muscle bound slim ball this is an elmore leonard story and production leonard wrote such notable movies as taunt western thriller <num> <num> to yuma be cool jackie brown get shorty <num> pick up and joe kidd this means that we get tough guys some good some not so good it also means we get tight realistic plots with characters doing what is best for them in each situation weaving complications into violent conclusions killshot is no different tough slim ball killer rourke stalks unhappily married witness lane think history of violence meets no country for old men it is not as intense bloody or gory as those two but it is almost as good if you like those two including david croneberg s equally wonderful eastern promises you will like killshot also director john madden has not done a lot of movies his last few were enjoyable if not successful proof captain corelli s mandolin and shakespeare in love diana lane hasn t had a powerful movie role since she and richard gere gave incredible performances in unfaithful lately she is charming and appealing in romantic stories such as nights in rodanthe must love dogs and under the tuscan sun here she is right on mark balancing her sexy appeal with reserved tension this is a small part for rosario dawson yet dawson does a good job with it you see a lot more of lane including an underwear scene to rival sigourney weaver in aliens and nicole kidman in eyes wide shut while you are in the crime drama section also pick up kiss kiss bang bang and gone baby gone and before the devil knows your dead the last has wonderful performances by phillip seymour hoffman ethan hawke marisa tomei and albert finney killshot flopped at the box office more is our luck it is certainly worth a <num> <num> dollar rental if you like this genre <num> <num>,negative,positive,0.9836845871762975,,
14750,i ve read some terrible things about this film so i was prepared for the worst confusing muddled horribly structured while there may be merit to some of these accusations this film was nowhere near as horrific as your average dvd programmer in fact it actually had aspirations it attempted something beyond the typical monster slasher nonsense and by god there are some interesting things going on ms barbeau is a miracle to behold she carries the film squarely on her shoulders this is not to say that it s a masterpiece unholy ultimately collapses under the weight of its own ambition there are just too many unexplained subplots trying to coexist and the plot loopholes created by time travel are never really addressed for example if hope knows that her mother is evil and that she will ultimately kill her brother then why doesn t she just kill ma in the film s very first sequence seems like it would have beat the hell out of traveling into the future to do it still i give unholy points for trying a little ambition is not a bad thing,positive,negative,0.9694782876437684,,
4648,i have watched this movie a few times and never really thought it was that funny but it s still fun to watch and good for a few laughs its about women that work at a company and their boss is a jerk and they end up giving him a taste of his own medicine and try to get the respect they deserve the acting is really good dabney coleman is one of those <num> s stars that plays a good bad guy not really evil just unlikeable dolly partin is lovable and fun to watch in comedies and her down south wit really shines here jane fonda is so so and does little for me lily tomlin is the best thing about this movie she has the funniest lines and made me laugh out loud several times gotta love her i could recommend this to anyone that likes <num> s comedy i like the movie but it has things about it that i don t like it starts off great and has a nice flow and then everything starts coming together all at once and made me care less about the characters they all have little fantasies about what they would like to do the boss and although cute i just thought it slowed down the flow of the movie as the movie goes on it once again picks up and the funniest things happen and then once again it slows down only to wrap up in a quick manner thats too good to be true <num> out of <num> stars but give it a try if you haven t seen it i think depending on ones mood it may be more or less likable,negative,positive,0.9576481491532736,,
22479,this movie had no parts that were hilarious mostly just average funny units but it did not have any parts that were really bad either the worst part was the voice of sid his slothy slur was just too much for me by about <num> minutes in i was sick of hearing him talk aside from the annoying sloth voice the movie was good there were numerous side jokes which if you catch them make the movie much better this is a good movie for kids it has enough in it to keep adults content and enough in it to entertain kids this one is definitely worth renting if you have kids and want to watch a movie with them,positive,negative,0.9447046331944685,,
36218,the thesis of father brown is that a good dose of roman catholicism will solve all of life s problems a little proselytizing i don t mind but this gets a bit ridiculous at times some fine actors have played father brown over the years kenneth more and barnard hughes are two good examples alec guinness plays him in this film and does all right by him but you didn t see any great demand for future father brown films i suppose if you are a committed roman catholic it all makes perfectly good sense it s far more important to catch the thief and convert him to your religion than see he s brought to justice but that s what were asked to accept here in fact there is a preliminary story before the main action of the film guinness in clerical garb is caught trying to put back stolen articles that one of his parishioners sidney james had heisted during a robbery that s the story he gives the local cops and of course this is something that james has confided in him so he can t break the confessional now on to bigger game master thief flambeau played by peter finch has stolen a cross that is entrusted to father brown and was said to belong to st augustine back in the day but father brown is more interested in getting flambeau to go back to his faith than seeing him brought to justice so he misleads the cops so he can accomplish his mission i m sorry but this whole thing was just too much for me to swallow father brown i d hate to say it was guilty of obstruction and ought to have been arrested and he was under no obligation not to reveal anything he knew about flambeau the man had not come to him as a penitent seeking absolution and spiritual advice author g k chesterton a very noted catholic lay person in his day finds all this very reasonable carried to his logical conclusion we should replace all police forces with an army of priests guinness borrows from his own reverend ascoyne d ascoyne from kind hearts and coronets and from barry fitzgerald in going my way to create father brown granted though brown is a lot shrewder than the other two there s also a bit of colonel nicholson in this portrayal in the bridge on the river kwai guinness also was playing a character who s rather weird interpretation of the rules caused him to lose sight of what was important in the situation nicholson was in father brown s an entertaining fellow when he s solving mysteries and making the authorities look foolish we ve enjoyed brother cadfael do it in a medieval setting and american audiences liked father dowling played by tom bosley a few years back this film should have stuck to being entertaining,negative,positive,0.9423400971490036,,
33759,i loved this movie when it first came out but i was just <num> years old then and i had forgotten this film existed until one day i found a used copy for sale at a gas station i bought it and i couldn t wait to watch this film that had i loved as a kid and then as i saw this film again many years later it hit me why in the world did i like this film as a kid watching it again as an adult i realized that this film is terrible the saddest part about this film is that they had everything in place to make the greatest western ever and they blew it the costumes are perfect good actors there are <num> music scores the orchestrail score is wonderful and keeps with the classic spirit of the old timey lone ranger alive the second score is a series of songs by country music artest like merle haggerd and the statler brothers and those songs like the man in the mask are so bad that they are funny this movies strongest point is that it had a briliant storyline and one of the best western plots ever and for a while its fun to watch as john reid is nursed back to health after he and his fellow rangers are ambushed its fun to see him grow into his new life and identity as the lone ranger as he concels his identity and goes on a revenge run to get the gang responsible for killing his brother and all his fellow rangers to whom he rode with but unfortunatly as good as the storyline is its all ruined by merle haggard narrating everything as you are watching it happen for the love of god why did they do that between merle haggard s narration and the statler brothers singing corny stupid songs like ride little cowboy being playing in the backgound make this movie impossible to take serious i would love to see a really good producer take this same script and story and re do this film right because at the heart of this silly film is a great western i would descibe this film as a beautiful woman dress in the ugliest clothing i give it <num> stars out of <num> if your <num> years old and dont know better then you might love it,negative,positive,0.9375218879355105,,
15598,an imagination is a terrible thing to waste especially when you have talented actors writer director jones wastes no time in siding the viewer with his protagonist anyone who has shared an apartment with a slob will be crying with laughter anyone who has arrived while a meter maid places a ticket on your windshield will just plain cry we ve all wanted to rip a terrible toupee off a man s head these are only snippets of what s in store when watching cross eyed a heartfelt film that should be a stepping stone for jones and his wry sense of humor both in front and behind the camera,positive,negative,0.9350755078334859,,
25609,first of all i just wanna say that i m a very big naruto fan i love the anime and the manga stories also the first movie just confirmed that naruto is all about great fun great action great story but then came the 2nd movie i was very hyped because the first movie turned out great but it didn t satisfy me one bit the story was lame action wasn t all that great especially compared to the anime series same goes for the quality of animation i found it very poorly could the story get any lamer any where s the kyuubi of naruto not once does he turn demon i mean come on my advice is see the series until episode <num> then it s just fillers and then read the manga because that s still great ignore this movie and hope for something better in the future all and all i gave it a <num> just because it s naruto,negative,positive,0.9344962834299838,,
